model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
xgb_raw_weather,locked_test,headache,0.22768304914744233,0.13,0.2341842397336293,0.9295154185022027,0.374113475177305,0.2799896282964732
xgb_raw_weather,locked_test,chest_pain,0.16850551654964896,0.27,0.33098591549295775,0.27976190476190477,0.3032258064516129,0.3297649317574261
xgb_raw_weather,locked_test,vomiting,0.20160481444332998,0.12000000000000001,0.19397590361445782,0.8009950248756219,0.3123181377303589,0.22815892112912853
xgb_raw_weather,locked_test,cough,0.06118355065195587,0.060000000000000005,0.08425720620842572,0.6229508196721312,0.1484375,0.09993755724218054
xgb_raw_weather,locked_test,asthma,0.04914744232698094,0.17000000000000004,0.10714285714285714,0.12244897959183673,0.11428571428571428,0.1268325286137216
xgb_raw_weather,locked_test,severe_headache,0.09729187562688064,0.07,0.11970802919708029,0.845360824742268,0.20971867007672634,0.16787888805889709
xgb_raw_weather,locked_test,weakness,0.04012036108324975,0.05,0.024630541871921183,0.125,0.0411522633744856,0.0464969177399881
xgb_raw_weather,locked_test,trouble_seeing,0.028084252758274825,0.05,0.038314176245210725,0.35714285714285715,0.06920415224913495,0.030760369788404955
xgb_raw_weather,locked_test,fever,0.033099297893681046,0.09000000000000001,0.0625,0.09090909090909091,0.07407407407407407,0.06279797097171176
xgb_raw_weather,locked_test,body_aches,0.03510531594784353,0.060000000000000005,0.04819277108433735,0.22857142857142856,0.07960199004975124,0.04585108213815316
xgb_raw_weather,locked_test,sore_throat,0.06318956870611836,0.08000000000000002,0.10294117647058823,0.5555555555555556,0.17369727047146402,0.10623763750334583
xgb_raw_weather,locked_test,sneezing,0.0320962888665998,0.05,0.03879310344827586,0.28125,0.06818181818181818,0.037932865254323496
xgb_raw_weather,locked_test,diarrhea,0.04212637913741224,0.07,0.025423728813559324,0.07142857142857142,0.0375,0.0418259569236489
xgb_raw_weather,locked_test,rapid_breathing,0.00802407221664995,0.08000000000000002,0.0,0.0,0.0,0.0156766642664683
